40,300181,佐力药业,"预计2022年1-9月归属于上市公司股东的净利润盈利:20,000万元至21,000万元,同比上年增长:52.07%至59.67%。",52.07% ～ 59.67%,预增,1.32 亿,Aug-30
41,688061,灿瑞科技,"预计2022年1-9月归属于上市公司股东的净利润盈利:12,200万元至14,500万元,同比上年增长:39.17%至65.4%。",39.17% ～ 65.40%,预增,-,Sep-22
42,688381,帝奥微,"预计2022年1-9月归属于上市公司股东的净利润盈利:16,500万元至17,500万元,同比上年增长:46.71%至55.6%。",46.71% ～ 55.60%,预增,-,Aug-22
43,1331,胜通能源,"预计2022年1-9月归属于上市公司股东的净利润盈利:15,258.41万元,同比上年增长:47.73%。",47.73%,略增,-,08-Aug
44,688459,哈铁科技,"预计2022年1-9月归属于上市公司股东的净利润亏损:1,550万元至4,000万元,同比上年增长:22.56%至69.99%。",22.56% ～ 69.99%,减亏,-5165 万,09-30
45,1255,博菲电气,"预计2022年1-9月归属于上市公司股东的净利润盈利:5,587.33万元至6,595.9万元,同比上年增长:29.07%至52.37%。",29.07% ～ 52.37%,预增,4329 万,Sep-29
46,688439,振华风光,"预计2022年1-9月归属于上市公司股东的净利润盈利:19,611.17万元至23,450.38万元,同比上年增长:25.97%至50.64%。",25.97% ～ 50.64%,预增,-,Aug-25
47,301369,联动科技,"预计2022年1-9月归属于上市公司股东的净利润盈利:10,126.89万元,同比上年增长:35.58%。",35.58%,略增,-,Sep-21
48,2475,立讯精密,"预计2022年1-9月归属于上市公司股东的净利润盈利:609,655.98万元至656,552.59万元,同比上年增长:30%至40%。",30.00% ～ 40.00%,略增,46.90 亿,Aug-26
49,603052,可川科技,"预计2022年1-9月归属于上市公司股东的净利润盈利:10,400万元至10,900万元,同比上年增长:30%至37%。",30.00% ～ 37.00%,略增,7971 万,10-Oct
