"序号	股票代码	股票简称	单季度：净利润环比增长率	流通市值	流通市值2	"
"=""220""	=""600487""	=""亨通光电""	=""65.41""	=""429.92""	=""429.92""	"
"=""221""	=""600489""	=""中金黄金""	=""43.38""	=""322.40""	=""322.40""	"
"=""222""	=""600498""	=""烽火通信""	=""392.69""	=""140.54""	=""140.54""	"
"=""223""	=""600499""	=""科达制造""	=""41.84""	=""274.07""	=""274.07""	"
"=""224""	=""600516""	=""方大炭素""	=""704.33""	=""237.11""	=""237.11""	"
"=""225""	=""600521""	=""华海药业""	=""212.00""	=""279.14""	=""279.14""	"
"=""226""	=""600535""	=""天士力""	=""122.14""	=""146.37""	=""146.37""	"
"=""227""	=""600549""	=""厦门钨业""	=""45.79""	=""318.19""	=""318.19""	"
"=""228""	=""600580""	=""卧龙电驱""	=""59.72""	=""151.42""	=""151.42""	"
"=""229""	=""600582""	=""天地科技""	=""59.17""	=""197.41""	=""197.41""	"
"=""230""	=""600583""	=""海油工程""	=""208.67""	=""196.75""	=""196.75""	"
"=""231""	=""600586""	=""金晶科技""	=""50.45""	=""124.87""	=""124.87""	"
"=""232""	=""600588""	=""用友网络""	=""125.40""	=""601.34""	=""601.34""	"
"=""233""	=""600600""	=""青岛啤酒""	=""52.36""	=""743.69""	=""743.69""	"
"=""234""	=""600621""	=""华鑫股份""	=""41.17""	=""112.67""	=""112.67""	"
"=""235""	=""600642""	=""申能股份""	=""128.93""	=""280.35""	=""280.35""	"
"=""236""	=""600657""	=""信达地产""	=""365.12""	=""137.18""	=""137.18""	"
"=""237""	=""600660""	=""福耀玻璃""	=""73.50""	=""717.27""	=""717.27""	"
"=""238""	=""600674""	=""川投能源""	=""82.31""	=""530.22""	=""530.22""	"
"=""239""	=""600685""	=""中船防务""	=""288.53""	=""177.10""	=""177.10""	"
"=""240""	=""600699""	=""均胜电子""	=""114.24""	=""180.86""	=""180.86""	"
"=""241""	=""600705""	=""中航产融""	=""512.53""	=""264.81""	=""264.81""	"
"=""242""	=""600717""	=""天津港""	=""186.67""	=""115.76""	=""115.76""	"
"=""243""	=""600718""	=""东软集团""	=""449.67""	=""115.74""	=""115.74""	"
"=""244""	=""600732""	=""爱旭股份""	=""62.07""	=""315.35""	=""315.35""	"
"=""245""	=""600737""	=""中粮糖业""	=""70.67""	=""150.36""	=""150.36""	"
"=""246""	=""600739""	=""辽宁成大""	=""53.84""	=""188.15""	=""188.15""	"
"=""247""	=""600754""	=""锦江酒店""	=""138.64""	=""526.95""	=""526.95""	"
"=""248""	=""600755""	=""厦门国贸""	=""54.00""	=""129.52""	=""129.52""	"
"=""249""	=""600764""	=""中国海防""	=""733.25""	=""105.07""	=""105.07""	"
"=""250""	=""600765""	=""中航重机""	=""69.74""	=""400.04""	=""400.04""	"
"=""251""	=""600777""	=""新潮能源""	=""106.46""	=""159.15""	=""159.15""	"
"=""252""	=""600801""	=""华新水泥""	=""40.09""	=""228.11""	=""228.11""	"
"=""253""	=""600837""	=""海通证券""	=""96.94""	=""768.43""	=""768.43""	"
"=""254""	=""600839""	=""四川长虹""	=""92.53""	=""119.53""	=""119.53""	"
"=""255""	=""600869""	=""远东股份""	=""182.58""	=""120.51""	=""120.51""	"
"=""256""	=""600871""	=""石化油服""	=""93.26""	=""249.68""	=""249.68""	"
"=""257""	=""600895""	=""张江高科""	=""209.94""	=""160.91""	=""160.91""	"
