序,股票代码,股票简称,A股市值,A股市值
263,002683, 广东宏大,191.29,191.29
264,002690, 美亚光电,132.78,132.78
265,002698, 博实股份,188.76,188.76
266,002701, 奥瑞金,125.43,125.43
267,002705, 新宝股份,119.35,119.35
268,002716, 湖南白银,102.2,102.2
269,002737, 葵花药业,104.36,104.36
270,002738, 中矿资源,251.3,251.3
271,002739, 万达电影,245.81,245.81
272,002745, 木林森,119.48,119.48
273,002747, 埃斯顿,181.99,181.99
274,002755, 奥赛康,119.92,119.92
275,002756, 永兴材料,188.69,188.69
276,002773, 康弘药业,176.23,176.23
277,002779, 中坚科技,150.36,150.36
278,002807, 江阴银行,106.09,106.09
279,002815, 崇达技术,127.05,127.05
280,002821, 凯莱英,278.02,278.02
281,002831, 裕同科技,233.37,233.37
282,002832, 比音勒芬,105.98,105.98
283,002839, 张家港行,104.13,104.13
284,002847, 盐津铺子,136.46,136.46
285,002865, 钧达股份,129.31,129.31
286,002867, 周大生,133.81,133.81
287,002881, 美格智能,141.98,141.98
288,002891, 中宠股份,102.29,102.29
289,002892, 科力尔,106.65,106.65
290,002895, 川恒股份,112.68,112.68
291,002896, 中大力德,110.82,110.82
292,002901, 大博医疗,143.58,143.58
293,002906, 华阳集团,188.78,188.78
294,002911, 佛燃能源,155.57,155.57
295,002925, 盈趣科技,120.04,120.04
296,002926, 华西证券,216.3,216.3
297,002929, 润建股份,144.97,144.97
298,002936, 郑州银行,142.14,142.14
299,002946, 新乳业,129.53,129.53
300,002948, 青岛银行,148.19,148.19
301,002958, 青农商行,170,170
302,002965, 祥鑫科技,100.88,100.88
303,002967, 广电计量,107.38,107.38
304,002978, 安宁股份,135.51,135.51
305,002979, 雷赛智能,130.97,130.97
306,002984, 森麒麟,250.57,250.57
307,002987, 京北方,113.96,113.96
308,002992, 宝明科技,108.86,108.86
309,002993, 奥海科技,100.29,100.29
310,003021, 兆威机电,280.08,280.08
311,003022, 联泓新科,185.24,185.24
312,003031, 中瓷电子,216.28,216.28
313,003035, 南网能源,168.56,168.56
314,200028, 一致Ｂ,125.33,125.33
315,200029, 深深房Ｂ,138.83,138.83
316,200429, 粤高速Ｂ,237.8,237.8
317,200539, 粤电力Ｂ,201.22,201.22
318,200550, 江  铃Ｂ,120.2,120.2
319,200553, 安道麦B,130.84,130.84
320,200581, 苏威孚Ｂ,148.68,148.68
321,200761, 本钢板Ｂ,143.14,143.14
322,300001, 特锐德,261.28,261.28
323,300002, 神州泰岳,279.27,279.27
324,300003, 乐普医疗,222.29,222.29
325,300007, 汉威科技,103.18,103.18
326,300009, 安科生物,147.02,147.02
327,300010, 豆神教育,169.26,169.26
328,300012, 华测检测,212.88,212.88
329,300026, 红日药业,108.75,108.75
330,300034, 钢研高纳,114.72,114.72
331,300035, 中科电气,102.27,102.27
332,300037, 新宙邦,258.96,258.96
333,300045, 华力创通,134.13,134.13
334,300054, 鼎龙股份,252.96,252.96
335,300058, 蓝色光标,241.06,241.06
336,300068, 南都电源,143.51,143.51
337,300070, 碧水源,173.96,173.96
338,300073, 当升科技,220.94,220.94
339,300075, 数字政通,118.64,118.64
340,300077, 国民技术,137.62,137.62
341,300083, 创世纪,109.21,109.21
342,300085, 银之杰,275.31,275.31
343,300087, 荃银高科,101.08,101.08
344,300088, 长信科技,159.65,159.65
345,300098, 高新兴,109.31,109.31
346,300100, 双林股份,143.07,143.07
347,300101, 振芯科技,101.54,101.54
348,300113, 顺网科技,145.47,145.47
349,300118, 东方日升,130.42,130.42
350,300130, 新国都,128.11,128.11
351,300133, 华策影视,157.22,157.22
352,300136, 信维通信,239.96,239.96
353,300140, 节能环境,182.23,182.23
354,300142, 沃森生物,190.8,190.8
355,300144, 宋城演艺,228.43,228.43
356,300146, 汤臣倍健,197.13,197.13
357,300166, 东方国信,136.08,136.08
358,300168, 万达信息,132.79,132.79
359,300170, 汉得信息,207.8,207.8
360,300171, 东富龙,103.77,103.77
361,300180, 华峰超纤,112.88,112.88
362,300182, 捷成股份,171.02,171.02
363,300184, 力源信息,119.44,119.44
364,300188, 国投智能,128.06,128.06
365,300199, 翰宇药业,113.23,113.23
366,300212, 易华录,202.29,202.29
367,300224, 正海磁材,107.48,107.48
368,300229, 拓尔思,226.36,226.36
369,300236, 上海新阳,113.85,113.85
370,300244, 迪安诊断,109.37,109.37
371,300253, 卫宁健康,255.25,255.25
372,300255, 常山药业,192.73,192.73
373,300276, 三丰智能,141.93,141.93
374,300284, 苏交科,138.28,138.28
375,300285, 国瓷材料,170.79,170.79
376,300287, 飞利信,106.78,106.78
377,300290, 荣科科技,132.62,132.62
378,300294, 博雅生物,141.34,141.34
379,300296, 利亚德,178.72,178.72
380,300298, 三诺生物,141.86,141.86
381,300315, 掌趣科技,164.94,164.94
382,300319, 麦捷科技,106.46,106.46
383,300323, 华灿光电,128.38,128.38
384,300346, 南大光电,212.59,212.59
385,300348, 长亮科技,124.78,124.78
386,300357, 我武生物,114.19,114.19
387,300364, 中文在线,187.23,187.23
388,300373, 扬杰科技,236.52,236.52
389,300377, 赢时胜,221.57,221.57
390,300378, 鼎捷数智,110.76,110.76
391,300383, 光环新网,292.83,292.83
392,300390, 天华新能,189.83,189.83
393,300395, 菲利华,183.63,183.63
394,300409, 道氏技术,103.14,103.14
395,300415, 伊之密,103.97,103.97
396,300428, 立中集团,107.35,107.35
397,300432, 富临精工,201.87,201.87
398,300438, 鹏辉能源,155.23,155.23
399,300446, 航天智造,143.97,143.97
400,300456, 赛微电子,128.14,128.14
401,300457, 赢合科技,133.34,133.34
402,300459, 汤姆猫,227.12,227.12
403,300475, 香农芯创,134.75,134.75
404,300482, 万孚生物,121.08,121.08
405,300487, 蓝晓科技,235.76,235.76
406,300492, 华图山鼎,110.42,110.42
407,300493, 润欣科技,130.19,130.19
408,300496, 中科创达,291.92,291.92
409,300525, 博思软件,129.33,129.33
410,300529, 健帆生物,207.64,207.64
411,300548, 博创科技,177.57,177.57
412,300558, 贝达药业,209.66,209.66
413,300561, 汇金科技,158.84,158.84
414,300567, 精测电子,172.03,172.03
415,300568, 星源材质,143.56,143.56
416,300570, 太辰光,253.2,253.2
417,300573, 兴齐眼药,131.42,131.42
418,300576, 容大感光,140.28,140.28
419,300580, 贝斯特,141.5,141.5
420,300595, 欧普康视,150.28,150.28
421,300598, 诚迈科技,109.79,109.79
422,300601, 康泰生物,173.24,173.24
423,300602, 飞荣达,121.4,121.4
424,300604, 长川科技,277.35,277.35
425,300607, 拓斯达,149.91,149.91
426,300613, 富瀚微,143.86,143.86
427,300618, 寒锐钴业,104.61,104.61
428,300620, 光库科技,121.75,121.75
429,300623, 捷捷微电,288.81,288.81
430,300624, 万兴科技,148.25,148.25
431,300627, 华测导航,232.15,232.15
432,300633, 开立医疗,131.63,131.63
433,300634, 彩讯股份,135.68,135.68
434,300638, 广和通,275.39,275.39
435,300641, 正丹股份,134.18,134.18
436,300657, 弘信电子,163.21,163.21
437,300660, 江苏雷利,162.89,162.89
438,300666, 江丰电子,184.6,184.6
439,300672, 国科微,158.45,158.45
440,300674, 宇信科技,205.3,205.3
441,300676, 华大基因,245.04,245.04
442,300677, 英科医疗,166.14,166.14
443,300678, 中科信息,108.71,108.71
444,300679, 电连技术,267.32,267.32
445,300682, 朗新集团,140.37,140.37
446,300685, 艾德生物,101.12,101.12
447,300699, 光威复材,255.47,255.47
448,300718, 长盛轴承,245.93,245.93
449,300724, 捷佳伟创,217.22,217.22
450,300726, 宏达电子,119.43,119.43
451,300735, 光弘科技,242.98,242.98
452,300738, 奥飞数据,154.25,154.25
453,300747, 锐科激光,106.64,106.64
454,300748, 金力永磁,226.49,226.49
455,300751, 迈为股份,248.81,248.81
456,300757, 罗博特科,294.62,294.62
457,300761, 立华股份,147.9,147.9
458,300762, 上海瀚讯,137.65,137.65
459,300763, 锦浪科技,205.78,205.78
460,300766, 每日互动,230.99,230.99
461,300768, 迪普科技,135.65,135.65
462,300773, 拉卡拉,142.25,142.25
463,300775, 三角防务,122.1,122.1
464,300776, 帝尔激光,168.17,168.17
465,300777, 中简科技,131.34,131.34
466,300779, 惠城环保,222.14,222.14
467,300783, 三只松鼠,106.83,106.83
468,300790, 宇瞳光学,106.77,106.77
469,300811, 铂科新材,142.67,142.67
470,300820, 英杰电气,111.3,111.3
471,300827, 上能电气,133.57,133.57
472,300846, 首都在线,124.72,124.72
473,300857, 协创数据,236.92,236.92
474,300870, 欧陆通,126.22,126.22
475,300888, 稳健医疗,218.08,218.08
476,300910, 瑞丰新材,151.91,151.91
477,300913, 兆龙互连,153.4,153.4
478,300925, 法本信息,114.08,114.08
479,300926, 博俊科技,102.34,102.34
480,300953, 震裕科技,156.96,156.96
481,300957, 贝泰妮,172.74,172.74
482,300972, 万辰集团,169.69,169.69
483,301004, 嘉益股份,115.7,115.7
484,301015, 百洋医药,130.35,130.35
485,301018, 申菱环境,108.9,108.9
486,301029, 怡合达,168.51,168.51
487,301035, 润丰股份,138.59,138.59
488,301039, 中集车辆,163.24,163.24
489,301050, 雷电微力,124.89,124.89
490,301061, 匠心家居,133.44,133.44
491,301078, 孩子王,162.2,162.2
492,301090, 华润材料,101.07,101.07
493,301091, 深城交,186.58,186.58
494,301095, 广立微,110.43,110.43
495,301127, 天源环保,108.56,108.56
496,301155, 海力风电,119.67,119.67
497,301171, 易点天下,153.55,153.55
498,301200, 大族数控,159.73,159.73
499,301205, 联特科技,110.66,110.66
500,301207, 华兰疫苗,109.81,109.81
501,301219, 腾远钴业,131.65,131.65
502,301238, 瑞泰新材,147.03,147.03
503,301262, 海看股份,108.88,108.88
504,301267, 华厦眼科,155.57,155.57
505,301286, 侨源股份,121.15,121.15
506,301291, 明阳电气,160.1,160.1
507,301293, 三博脑科,100.87,100.87
508,301297, 富乐德,140.33,140.33
509,301301, 川宁生物,289.75,289.75
510,301358, 湖南裕能,293.66,293.66
511,301363, 美好医疗,126.84,126.84
512,301371, 敷尔佳,134.51,134.51
513,301487, 盟固利,100.75,100.75
514,301510, 固高科技,141.2,141.2
515,301522, 上大股份,130.9,130.9
516,301526, 国际复材,127.83,127.83
517,301550, 斯菱股份,123.2,123.2
518,301551, 无线传媒,233.33,233.33
519,301589, 诺瓦星云,156.51,156.51
520,301600, 慧翰股份,113.27,113.27
521,301602, 超研股份,116.42,116.42
522,301606, 绿联科技,172.6,172.6
523,301611, 珂玛科技,252.1,252.1
524,301626, 苏州天脉,119.38,119.38
525,600004, 白云机场,214.9,214.9
526,600006, 东风股份,151.6,151.6
527,600007, 中国国贸,242.35,242.35
528,600008, 首创环保,226.09,226.09
529,600012, 皖通高速,200.25,200.25
530,600021, 上海电力,249.85,249.85
531,600022, 山东钢铁,149.78,149.78
532,600032, 浙江新能,179.15,179.15
533,600033, 福建高速,107.03,107.03
534,600037, 歌华有线,103.97,103.97
535,600055, 万东医疗,127.18,127.18
536,600056, 中国医药,161.26,161.26
537,600057, 厦门象屿,135.1,135.1
538,600062, 华润双鹤,193.55,193.55
539,600064, 南京高科,123.37,123.37
540,600072, 中船科技,183.19,183.19
541,600095, 湘财股份,194.42,194.42
542,600098, 广州发展,215.99,215.99
543,600100, 同方股份,260.32,260.32
544,600114, 东睦股份,124.69,124.69
545,600116, 三峡水利,130.22,130.22
546,600120, 浙江东方,250.69,250.69
547,600123, 兰花科创,113.14,113.14
548,600129, 太极集团,109.43,109.43
549,600131, 国网信通,233.38,233.38
550,600132, 重庆啤酒,276.73,276.73
551,600133, 东湖高新,108.76,108.76
552,600141, 兴发集团,236.76,236.76
553,600143, 金发科技,269.46,269.46
554,600153, 建发股份,297.66,297.66
555,600155, 华创云信,162.61,162.61
556,600166, 福田汽车,187.64,187.64
557,600167, 联美控股,123.1,123.1
558,600170, 上海建工,223.93,223.93
559,600171, 上海贝岭,264.57,264.57
560,600179, 安通控股,110.87,110.87
561,600185, 格力地产,108.01,108.01
562,600186, 莲花控股,119.88,119.88
563,600198, 大唐电信,116.93,116.93
564,600206, 有研新材,156.53,156.53
565,600208, 衢州发展,259.52,259.52
566,600211, 西藏药业,114.04,114.04
567,600216, 浙江医药,144.63,144.63
568,600246, 万通发展,109.62,109.62
569,600248, 陕建股份,159.37,159.37
570,600258, 首旅酒店,141.92,141.92
571,600266, 城建发展,101.71,101.71
572,600267, 海正药业,104.3,104.3
573,600269, 赣粤高速,124.71,124.71
574,600271, 航天信息,177.32,177.32
575,600273, 嘉化能源,106.28,106.28
576,600282, 南钢股份,271.88,271.88
577,600285, 羚锐制药,115.29,115.29
578,600295, 鄂尔多斯,184.12,184.12
579,600301, 华锡有色,110.07,110.07
580,600312, 平高电气,224.03,224.03
581,600315, 上海家化,106.35,106.35
582,600316, 洪都航空,225.03,225.03
583,600320, 振华重工,125.24,125.24
584,600323, 瀚蓝环境,173.34,173.34
585,600325, 华发股份,149.72,149.72
586,600328, 中盐化工,108.32,108.32
587,600329, 达仁堂,175.59,175.59
588,600331, 宏达股份,148.95,148.95
589,600339, 中油工程,187.04,187.04
590,600340, 华夏幸福,100.19,100.19
591,600348, 华阳股份,239.18,239.18
592,600361, 创新新材,153.62,153.62
593,600363, 联创光电,231.02,231.02
594,600369, 西南证券,297.7,297.7
595,600373, 中文传媒,164.19,164.19
596,600380, 健康元,215.91,215.91
597,600383, 金地集团,210.83,210.83
598,600388, 龙净环保,155.71,155.71
599,600390, 五矿资本,277.08,277.08
600,600392, 盛和资源,187.2,187.2
601,600395, 盘江股份,105.4,105.4
602,600399, 抚顺特钢,106.69,106.69
603,600409, 三友化工,114.78,114.78
604,600410, 华胜天成,118.2,118.2
605,600416, 湘电股份,135.46,135.46
606,600420, 国药现代,151.55,151.55
607,600422, 昆药集团,131.34,131.34
608,600428, 中远海特,136.74,136.74
609,600435, 北方导航,150.3,150.3
610,600446, 金证股份,163.04,163.04
611,600452, 涪陵电力,145.66,145.66
612,600456, 宝钛股份,134.35,134.35
613,600459, 贵研铂业,103.15,103.15
614,600461, 洪城环境,117.63,117.63
615,600480, 凌云股份,141.51,141.51
616,600481, 双良节能,114.3,114.3
617,600483, 福能股份,261.05,261.05
618,600486, 扬农化工,217.94,217.94
619,600497, 驰宏锌锗,280.02,280.02
620,600499, 科达制造,151.7,151.7
621,600500, 中化国际,136.01,136.01
622,600511, 国药股份,235.03,235.03
623,600516, 方大炭素,201.7,201.7
624,600517, 国网英大,290.5,290.5
625,600521, 华海药业,223.97,223.97
626,600528, 中铁工业,169.5,169.5
627,600529, 山东药玻,160.2,160.2
628,600535, 天士力,228.42,228.42
629,600546, 山煤国际,214.9,214.9
630,600548, 深高速,172.57,172.57
631,600550, 保变电气,144.93,144.93
632,600552, 凯盛科技,117.41,117.41
633,600556, 天下秀,100.87,100.87
634,600559, 老白干酒,171.79,171.79
635,600562, 国睿科技,230.61,230.61
636,600563, 法拉电子,268.79,268.79
637,600566, 济川药业,249.6,249.6
638,600572, 康恩贝,115.72,115.72
639,600575, 淮河能源,122.81,122.81
640,600577, 精达股份,145.45,145.45
641,600578, 京能电力,230.29,230.29
642,600582, 天地科技,240.87,240.87
643,600583, 海油工程,226.82,226.82
644,600595, 中孚实业,146.75,146.75
645,600596, 新安股份,117.68,117.68
646,600597, 光明乳业,111.93,111.93
647,600598, 北大荒,251.36,251.36
648,600601, 方正科技,206.85,206.85
649,600602, 云赛智联,249.56,249.56
650,600603, ST广物,124.46,124.46
651,600606, 绿地控股,268.44,268.44
652,600611, 大众交通,108.81,108.81
653,600612, 老凤祥,162.36,162.36
654,600621, 华鑫股份,154.89,154.89
655,600623, 华谊集团,124.63,124.63
656,600633, 浙数文化,239.29,239.29
657,600637, 东方明珠,264.92,264.92
658,600640, 国脉文化,105.67,105.67
659,600641, 万业企业,138.57,138.57
660,600645, 中源协和,100.14,100.14
661,600648, 外高桥,109.37,109.37
662,600649, 城投控股,108.27,108.27
663,600651, 飞乐音响,105.3,105.3
664,600655, 豫园股份,219.64,219.64
665,600657, 信达地产,133.47,133.47
666,600662, 外服控股,123.08,123.08
667,600667, 太极实业,144.27,144.27
668,600675, 中华企业,167.48,167.48
669,600685, 中船防务,189.01,189.01
